0-9,10-19,20-29,30-39,40-49,50-59,60-69,70-79,80+,diabetes_number
0.0026658324043060517,0.0027946824367564896,0.0018765979501282216,0.001876373737958881,0.0020939623960796166,0.0029226892416398605,0.0037858435086093436,0.004286283195114964,0.0033906392533857273,0.002952776576039247
0.0043633245686126995,0.0046411258139724436,0.003299138832925624,0.0035489964596596294,0.004352360466701035,0.0060268501495801255,0.00813463405977492,0.008375194751661066,0.008218370640656796,0.005675589400246135
0.0032402154184595446,0.004130287239768904,0.003983114471832728,0.002897792231226774,0.003293898399492768,0.0038997265673753755,0.004267947017908815,0.004728186067308969,0.004381446916005894,0.00387158152057493
0.009238959059071237,0.010205473316552863,0.007446664350354801,0.0075547680734142884,0.00847362214755954,0.009770373257355153,0.010619093862299802,0.01175496573069426,0.00976212195635394,0.008297596196252534
0.01381995327137611,0.01425667338369626,0.011098387808407184,0.010641662555024427,0.011733448290165266,0.01375815569656406,0.016650810160651876,0.017585289000985112,0.016950389446354644,0.013625614811765743
0.059595962103963326,0.04895334583125864,0.09725748246870893,0.1220981294191831,0.08948930131133746,0.08222197889875028,0.09235289188163325,0.09535670120379233,0.11033330994316189,0.07061357269164696
0.0020153063969218367,0.0020433542968141586,0.0015689694702817403,0.001512818003066919,0.0017502770222625164,0.002247338989838352,0.0026067109991570582,0.0031789060371268277,0.002245456459195846,0.002548502400443546
0.00029877848430750846,0.0003244188101576982,0.00017789788918053296,0.0002257241650702841,0.0002096184499789641,0.00024272792496720874,0.00035196513869102496,0.00039474327713772696,0.0005164549856150446,0.00021526287271978863
0.05349376330950554,0.0624651471707371,0.04523744230360426,0.0487850513339366,0.057828026949673796,0.07645317073880407,0.08373122482882368,0.08570470408227428,0.08555750473650972,0.05605025180505794
0.00037574911876899956,0.0004382074973025625,0.00036414477677026064,0.0004268117693511862,0.00033553766021367747,0.00039739997810088755,0.0004998496507460774,0.0005973548707128435,0.00072977334923865,0.0005050802037961869
0.029943232087981574,0.02977551348153839,0.02285634649114075,0.022873382060455458,0.025226062017433146,0.029387690095398964,0.03420864532857474,0.03743598521634028,0.034922461581643395,0.027098970518437
